"","Quadrat_Size","Team","Plant_Density","Density"
"1","50cmX20cm","Team1","1",1
"2","50cmX20cm","Team1","2",2
"3","50cmX20cm","Team1","1",1
"4","50cmX20cm","Team1","0",0
"5","50cmX20cm","Team1","0",0
"6","50cmX20cm","Team1","0",0
"7","50cmX20cm","Team1","0",0
"8","50cmX20cm","Team1","2",2
"9","50cmX20cm","Team1","0",0
"10","50cmX20cm","Team1","0",0
"11","50cmX20cm","Team2","0",0
"12","50cmX20cm","Team2","3",3
"13","50cmX20cm","Team2","3",3
"14","50cmX20cm","Team2","2",2
"15","50cmX20cm","Team2","0",0
"16","50cmX20cm","Team2","1",1
"17","50cmX20cm","Team2","3",3
"18","50cmX20cm","Team2","2",2
"19","50cmX20cm","Team2","0",0
"20","50cmX20cm","Team2","0",0
"21","50cmX20cm","Team3","2",2
"22","50cmX20cm","Team3","2",2
"23","50cmX20cm","Team3","1",1
"24","50cmX20cm","Team3","0",0
"25","50cmX20cm","Team3","0",0
"26","50cmX20cm","Team3","0",0
"27","50cmX20cm","Team3","0",0
"28","50cmX20cm","Team3","0",0
"29","50cmX20cm","Team3","0",0
"30","50cmX20cm","Team3","1",1
"31","50cmX20cm","Team4","0",0
"32","50cmX20cm","Team4","0",0
"33","50cmX20cm","Team4","0",0
"34","50cmX20cm","Team4","0",0
"35","50cmX20cm","Team4","0",0
"36","50cmX20cm","Team4","0",0
"37","50cmX20cm","Team4","1",1
"38","50cmX20cm","Team4","2",2
"39","50cmX20cm","Team4","0",0
"40","50cmX20cm","Team4","0",0
"41","50cmX20cm","Team5","4",4
"42","50cmX20cm","Team5","5",5
"43","50cmX20cm","Team5","0",0
"44","50cmX20cm","Team5","0",0
"45","50cmX20cm","Team5","0",0
"46","50cmX20cm","Team5","0",0
"47","50cmX20cm","Team5","1",1
"48","50cmX20cm","Team5","4",4
"49","50cmX20cm","Team5","0",0
"50","50cmX20cm","Team5","0",0
"51","50cmX50cm","Team1","8",8
"52","50cmX50cm","Team1","0",0
"53","50cmX50cm","Team1","0",0
"54","50cmX50cm","Team1","1",1
"55","50cmX50cm","Team1","1",1
"56","50cmX50cm","Team2","4",4
"57","50cmX50cm","Team2","1",1
"58","50cmX50cm","Team2","7",7
"59","50cmX50cm","Team2","0",0
"60","50cmX50cm","Team2","7",7
"61","50cmX50cm","Team3","3",3
"62","50cmX50cm","Team3","1",1
"63","50cmX50cm","Team3","2",2
"64","50cmX50cm","Team3","6",6
"65","50cmX50cm","Team3","2",2
"66","50cmX50cm","Team4","0",0
"67","50cmX50cm","Team4","0",0
"68","50cmX50cm","Team4","0",0
"69","50cmX50cm","Team4","1",1
"70","50cmX50cm","Team4","5",5
"71","50cmX50cm","Team5","1",1
"72","50cmX50cm","Team5","7",7
"73","50cmX50cm","Team5","5",5
"74","50cmX50cm","Team5","0",0
"75","50cmX50cm","Team5","4",4
"76","30mX1m","Team1","49",49
"77","30mX1m","Team2","137",137
"78","30mX1m","Team3","48",48
"79","30mX1m","Team4","43",43
"80","30mX1m","Team5","174",174
