Team,Quadrat,Density
1,50 x 20,1
1,50 x 20,2
1,50 x 20,1
1,50 x 20,0
1,50 x 20,0
1,50 x 20,0
1,50 x 20,0
1,50 x 20,2
1,50 x 20,0
1,50 x 20,0
2,50 x 20,0
2,50 x 20,3
2,50 x 20,3
2,50 x 20,2
2,50 x 20,0
2,50 x 20,1
2,50 x 20,3
2,50 x 20,2
2,50 x 20,0
2,50 x 20,0
3,50 x 20,2
3,50 x 20,2
3,50 x 20,1
3,50 x 20,0
3,50 x 20,0
3,50 x 20,0
3,50 x 20,0
3,50 x 20,0
3,50 x 20,0
3,50 x 20,1
4,50 x 20,0
4,50 x 20,0
4,50 x 20,0
4,50 x 20,0
4,50 x 20,0
4,50 x 20,0
4,50 x 20,1
4,50 x 20,2
4,50 x 20,0
4,50 x 20,0
5,50 x 20,4
5,50 x 20,5
5,50 x 20,0
5,50 x 20,0
5,50 x 20,0
5,50 x 20,0
5,50 x 20,1
5,50 x 20,4
5,50 x 20,0
5,50 x 20,0
1,50 x 50,8
1,50 x 50,0
1,50 x 50,0
1,50 x 50,1
1,50 x 50,1
2,50 x 50,4
2,50 x 50,1
2,50 x 50,7
2,50 x 50,0
2,50 x 50,7
3,50 x 50,3
3,50 x 50,1
3,50 x 50,2
3,50 x 50,6
3,50 x 50,2
4,50 x 50,0
4,50 x 50,0
4,50 x 50,0
4,50 x 50,1
4,50 x 50,5
5,50 x 50,1
5,50 x 50,7
5,50 x 50,5
5,50 x 50,0
5,50 x 50,4
1,30 x 1,49
2,30 x 1,137
3,30 x 1,48
4,30 x 1,43
5,30 x 1,174
