"","Quadrat","Team","Density"
"1","20X50","Team_1","1"
"2","20X50","Team_1","2"
"3","20X50","Team_1","1"
"4","20X50","Team_1","0"
"5","20X50","Team_1","0"
"6","20X50","Team_1","0"
"7","20X50","Team_1","0"
"8","20X50","Team_1","2"
"9","20X50","Team_1","0"
"10","20X50","Team_1","0"
"11","20X50","Team_2","0"
"12","20X50","Team_2","3"
"13","20X50","Team_2","3"
"14","20X50","Team_2","2"
"15","20X50","Team_2","0"
"16","20X50","Team_2","1"
"17","20X50","Team_2","3"
"18","20X50","Team_2","2"
"19","20X50","Team_2","0"
"20","20X50","Team_2","0"
"21","20X50","Team_3","2"
"22","20X50","Team_3","2"
"23","20X50","Team_3","1"
"24","20X50","Team_3","0"
"25","20X50","Team_3","0"
"26","20X50","Team_3","0"
"27","20X50","Team_3","0"
"28","20X50","Team_3","0"
"29","20X50","Team_3","0"
"30","20X50","Team_3","1"
"31","20X50","Team_4","0"
"32","20X50","Team_4","0"
"33","20X50","Team_4","0"
"34","20X50","Team_4","0"
"35","20X50","Team_4","0"
"36","20X50","Team_4","0"
"37","20X50","Team_4","1"
"38","20X50","Team_4","2"
"39","20X50","Team_4","0"
"40","20X50","Team_4","0"
"41","20X50","Team_5","4"
"42","20X50","Team_5","5"
"43","20X50","Team_5","0"
"44","20X50","Team_5","0"
"45","20X50","Team_5","0"
"46","20X50","Team_5","0"
"47","20X50","Team_5","1"
"48","20X50","Team_5","4"
"49","20X50","Team_5","0"
"50","20X50","Team_5","0"
"51","50X50","Team_1","8"
"52","50X50","Team_1","0"
"53","50X50","Team_1","0"
"54","50X50","Team_1","1"
"55","50X50","Team_1","1"
"56","50X50","Team_2","4"
"57","50X50","Team_2","1"
"58","50X50","Team_2","7"
"59","50X50","Team_2","0"
"60","50X50","Team_2","7"
"61","50X50","Team_3","3"
"62","50X50","Team_3","1"
"63","50X50","Team_3","2"
"64","50X50","Team_3","6"
"65","50X50","Team_3","2"
"66","50X50","Team_4","0"
"67","50X50","Team_4","0"
"68","50X50","Team_4","0"
"69","50X50","Team_4","1"
"70","50X50","Team_4","5"
"71","50X50","Team_5","1"
"72","50X50","Team_5","7"
"73","50X50","Team_5","5"
"74","50X50","Team_5","0"
"75","50X50","Team_5","4"
"76","30X1","Team_1","49"
"77","30X1","Team_2","137"
"78","30X1","Team_3","48"
"79","30X1","Team_4","43"
"80","30X1","Team_5","174"
